mp-id,Formula,Band gap (eV),Formation energy per atom (eV),Energy above hull (eV),Density (g/cm³),Volume (Å³),Sites,Crystal system
mp-1044227,BiWO5,0.17069999999999902,-1.6053643725,0.278379729017852,5.392481343449117,582.3899715644123,28,Monoclinic
mp-1204596,BaP3H10C3NO9,5.6733,-1.456501409497354,0.11155211601852201,2.514346591101653,573.7264344274656,54,Triclinic
mp-777394,Sn2N2O,0.7611999999999991,-0.606191299,0.04568966199999901,6.554428561156875,570.3992708589556,40,Trigonal
mp-1520734,BaEuZr2O6,0.224199999999999,-3.5926265915,0.047089197250027005,6.257283751396131,150.66390604092888,10,Tetragonal
mp-2715797,Na6Mg4Ta20Si21(S5O48)3,1.795399999999999,-2.8223498116544903,0.045490534214284006,3.871637004933109,3100.421169015157,210,Triclinic
mp-19473,CaNi3(P2O7)2,3.7349,-2.483307683571428,0.0,3.766207944428127,497.3801336721878,44,Monoclinic
mp-1112899,Cs2ScHgI6,0.0,-1.339299918681035,0.037274964124999005,4.553230248536025,464.1774817459825,10,Cubic
mp-1106394,ErGePd,0.0,-0.9837118883333311,0.0,9.913326464739017,348.0625182987868,18,Orthorhombic
mp-31487,NbI5,0.6072000000000001,-0.7311326595833311,0.016002737916669,4.850899025884438,996.0412021662225,24,Monoclinic
mp-1517596,KEuBiWO6,0.101899999999999,-2.276175160725001,0.11728931124999901,7.408872441260519,609.5209845036932,40,Orthorhombic
